Brand,Model Name,Model Variant,Car Type,Transmission,Fuel Type,Year,Kilometers,Owner,State,Accidental,Price
Mahindra,TUV300,AX5,SUV,Manual,CNG,2017,164654,1st,Rajasthan,No,547253
Skoda,Rapid,Style,Sedan,Manual,Petrol,2018,41351,1st,Maharashtra,No,512050
Maruti Suzuki,Alto,Z,Hatchback,Manual,Diesel,2002,119090,3rd+,Tamil Nadu,No,678923
Hyundai,Grand i10,Magna,Hatchback,Manual,Diesel,2013,19979,1st,Andhra Pradesh,No,522500
Mahindra,XUV500,W8,SUV,Manual,Petrol,2011,130591,3rd+,Bihar,No,401182
Maruti Suzuki,Dzire,Base,Sedan,Manual,Diesel,2019,71192,1st,Uttar Pradesh,No,219848
MG,Hector,Smart,SUV,Manual,CNG,2023,61255,2nd,Maharashtra,No,1092070
Maruti Suzuki,Baleno,L,Hatchback,Manual,Diesel,2017,55072,1st,Gujarat,No,643104
Maruti Suzuki,Ignis,L,Hatchback,Manual,Electric,2022,130490,1st,Bihar,No,1128600
Maruti Suzuki,Swift,V,Sedan,Automatic,Petrol,2018,103459,1st,Gujarat,No,181046
Maruti Suzuki,Ertiga,Z,MPV,Manual,Diesel,2023,121723,2nd,West Bengal,No,1448370
Maruti Suzuki,Alto,V,Hatchback,Automatic,Petrol,2022,85557,1st,Tamil Nadu,No,631620
Audi,A6,Technology,Sedan,Manual,Petrol,2023,158217,2nd,Tamil Nadu,No,344850
Toyota,Urban Cruiser,E,SUV,Manual,CNG,2021,61128,2nd,Kerala,No,652951
Honda,City,V,Sedan,Manual,Petrol,2019,56808,2nd,Gujarat,No,1008065
Hyundai,Verna,Base,Sedan,Automatic,Diesel,2018,138237,1st,Maharashtra,No,724185
Maruti Suzuki,Celerio,Base,Hatchback,Manual,Petrol,2023,77112,2nd,Madhya Pradesh,No,1381908
Honda,Jazz,V,Sedan,Manual,Diesel,2017,160862,2nd,Maharashtra,No,531069
Honda,Brio,E,Hatchback,Manual,Petrol,2018,93897,2nd,Tamil Nadu,No,766365
Tata,Harrier,XZA+,SUV,Automatic,Petrol,2023,79179,2nd,Haryana,No,588038
Hyundai,Venue,Magna,SUV,Manual,Diesel,2022,154045,1st,Tamil Nadu,No,259875
Ford,Aspire,Trend+,Sedan,Manual,Petrol,2015,144399,1st,Telangana,No,274312
Maruti Suzuki,Celerio,L,Hatchback,Automatic,Petrol,2020,40821,2nd,Tamil Nadu,No,715545
Toyota,Urban Cruiser,G,SUV,Manual,Petrol,2022,177372,1st,Gujarat,No,1386000
Mahindra,XUV500,AX3,SUV,Automatic,Hybrid,2018,80372,1st,Gujarat,No,649936
Maruti Suzuki,Dzire,Z,Sedan,Manual,Diesel,2020,146824,2nd,Maharashtra,No,1086277
Chevrolet,Tavera,LTZ,MPV,Manual,Petrol,2009,29252,1st,Maharashtra,No,665500
Toyota,Innova,VX,MPV,Automatic,Diesel,2015,22818,1st,Telangana,Yes,510404
Tata,Altroz,XT,Hatchback,Manual,Petrol,2020,43007,1st,Maharashtra,No,770000
Maruti Suzuki,WagonR,L,Hatchback,Manual,CNG,2022,50262,1st,Tamil Nadu,No,1571011
